                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.29245,                0.36311,                0.86738,                 0.9975,                      1,                  0.995,                0.97321,                0.27698,                0.37393,                0.81752,              0.0005942,              0.0005942,              0.0005942
                     74,                0.30665,                  0.365,                0.84995,                0.99749,                      1,                  0.995,                0.97904,                0.29968,                0.37368,                0.81881,              0.0005744,              0.0005744,              0.0005744
                     75,                0.30853,                0.36191,                0.87986,                0.99744,                      1,                  0.995,                0.98727,                0.26274,                0.36034,                0.81362,              0.0005546,              0.0005546,              0.0005546
                     76,                0.32244,                0.37238,                0.88758,                0.99747,                      1,                  0.995,                  0.995,                0.21607,                 0.3391,                0.81012,              0.0005348,              0.0005348,              0.0005348
                     77,                0.32265,                0.37539,                0.87959,                0.99742,                      1,                  0.995,                  0.995,                0.22698,                0.33261,                0.81127,               0.000515,               0.000515,               0.000515
                     78,                0.28433,                0.34551,                0.84155,                0.99741,                      1,                  0.995,                0.95673,                0.26998,                0.32643,                0.81544,              0.0004952,              0.0004952,              0.0004952
                     79,                0.34208,                0.37552,                 0.8797,                0.99739,                      1,                  0.995,                0.93742,                0.28795,                0.31465,                0.81769,              0.0004754,              0.0004754,              0.0004754
                     80,                0.32194,                0.36424,                0.89418,                0.99739,                      1,                  0.995,                0.95557,                0.27428,                0.31028,                0.81683,              0.0004556,              0.0004556,              0.0004556
                     81,                0.34622,                 0.3674,                0.91488,                0.99741,                      1,                  0.995,                0.97861,                0.23752,                0.29582,                0.81319,              0.0004358,              0.0004358,              0.0004358
                     82,                0.33239,                   0.37,                0.89565,                 0.9974,                      1,                  0.995,                0.98627,                0.20903,                0.27646,                 0.8099,               0.000416,               0.000416,               0.000416
                     83,                0.30436,                0.34391,                 0.8679,                0.99739,                      1,                  0.995,                  0.995,                0.20151,                0.27502,                0.80896,              0.0003962,              0.0003962,              0.0003962
                     84,                0.31357,                0.38785,                0.86352,                0.99745,                      1,                  0.995,                  0.995,                0.20657,                0.27491,                0.80904,              0.0003764,              0.0003764,              0.0003764
                     85,                0.30769,                0.34707,                0.88958,                0.99744,                      1,                  0.995,                0.98927,                0.20858,                0.26792,                0.80881,              0.0003566,              0.0003566,              0.0003566
                     86,                0.29093,                 0.3206,                0.86383,                0.99746,                      1,                  0.995,                0.98952,                0.20774,                0.26114,                0.80805,              0.0003368,              0.0003368,              0.0003368
                     87,                0.22547,                0.30425,                0.82124,                0.99748,                      1,                  0.995,                0.98927,                0.21277,                0.26564,                0.80746,               0.000317,               0.000317,               0.000317
                     88,                0.27435,                0.33809,                0.83415,                0.99746,                      1,                  0.995,                0.98927,                  0.221,                  0.269,                0.80743,              0.0002972,              0.0002972,              0.0002972
                     89,                0.27104,                0.33942,                0.85392,                 0.9975,                      1,                  0.995,                0.98927,                0.22004,                0.26954,                0.80729,              0.0002774,              0.0002774,              0.0002774
                     90,                0.29766,                0.33603,                0.86892,                0.99751,                      1,                  0.995,                0.99002,                0.22345,                0.27172,                 0.8087,              0.0002576,              0.0002576,              0.0002576
                     91,                0.19271,                0.35918,                0.73807,                 0.9975,                      1,                  0.995,                0.99002,                0.23011,                0.29165,                0.80966,              0.0002378,              0.0002378,              0.0002378
                     92,                0.18865,                0.33866,                0.77525,                0.99747,                      1,                  0.995,                0.98777,                0.23502,                0.30665,                0.81017,               0.000218,               0.000218,               0.000218
                     93,                0.16897,                0.33427,                0.79474,                0.99748,                      1,                  0.995,                  0.995,                 0.2285,                0.31667,                0.81005,              0.0001982,              0.0001982,              0.0001982
                     94,                0.16331,                0.33257,                0.79404,                0.99748,                      1,                  0.995,                  0.995,                0.21804,                0.31068,                 0.8101,              0.0001784,              0.0001784,              0.0001784
                     95,                0.17611,                 0.3333,                0.76621,                0.99744,                      1,                  0.995,                  0.995,                0.21266,                0.31135,                 0.8101,              0.0001586,              0.0001586,              0.0001586
                     96,                0.16591,                0.32557,                0.76874,                0.99745,                      1,                  0.995,                0.98977,                0.22607,                 0.3132,                0.81094,              0.0001388,              0.0001388,              0.0001388
                     97,                0.16048,                0.33483,                  0.773,                0.99749,                      1,                  0.995,                0.98977,                0.24346,                0.30974,                0.81161,               0.000119,               0.000119,               0.000119
                     98,                0.16425,                0.32476,                0.78036,                0.99747,                      1,                  0.995,                0.98093,                0.26097,                0.30649,                0.81247,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.1743,                0.33629,                0.78575,                0.99751,                      1,                  0.995,                0.98093,                0.27174,                0.30269,                0.81299,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.16886,                0.31611,                0.79802,                0.99751,                      1,                  0.995,                0.98093,                0.27417,                0.30159,                0.81314,               5.96e-05,               5.96e-05,               5.96e-05
